bowler,season,runs_conceded,balls_bowled,matches,dot_balls,wickets
RJ Harris,2009,474,370,16,165,20
RJ Harris,2011,401,282,13,111,16
RJ Harris,2012,136,108,5,48,8
RP Meredith,2022,241,168,8,71,8
RP Singh,2009,815,610,28,267,36
RP Singh,2011,365,300,14,135,13
RP Singh,2012,328,246,11,103,10
RP Singh,2013,336,239,11,88,13
RR Powar,2009,301,264,15,111,8
RS Bopara,2009,137,86,7,24,5
RS Bopara,2015,164,120,7,37,6
RV Gomez,2011,125,90,8,33,5
Ramandeep Singh,2022,55,36,3,12,6
Rashid Khan,2017,368,324,14,121,17
Rashid Khan,2018,466,408,17,162,21
Rashid Khan,2019,396,363,15,160,17
Rashid Khan,2020,355,388,16,164,20
Rashid Khan,2021,398,342,14,122,18
Rashid Khan,2022,428,383,16,123,19
Ravi Bishnoi,2020,381,306,14,119,12
Ravi Bishnoi,2021,240,216,9,81,12
Ravi Bishnoi,2022,462,324,14,110,13
S Aravind,2011,377,276,13,115,21
S Aravind,2015,132,108,5,47,8
S Aravind,2016,222,175,9,65,11
S Aravind,2017,278,183,10,58,5
S Badree,2017,191,150,7,62,9
S Gopal,2014,113,84,4,30,6
S Gopal,2018,239,186,10,65,11
S Gopal,2019,350,288,14,104,20
S Gopal,2020,429,300,14,84,10
S Kaul,2017,303,214,10,65,16
S Kaul,2018,558,396,17,120,21
S Kaul,2019,243,162,7,55,6
S Kaul,2021,253,180,8,67,7
S Kaushik,2016,195,138,7,48,6
S Lamichhane,2018,86,72,3,29,5
S Lamichhane,2019,211,138,6,46,8
S Nadeem,2012,320,270,12,88,8
S Nadeem,2013,264,264,12,95,9
S Nadeem,2014,314,228,11,66,8
S Nadeem,2017,119,107,7,47,6
S Nadeem,2020,179,132,7,30,5
S Narwal,2009,186,94,5,31,5
S Randiv,2011,223,174,8,60,6
S Sreesanth,2009,387,252,13,106,9
S Sreesanth,2011,212,191,9,94,7
S Sreesanth,2013,171,130,7,67,5
S Tyagi,2009,304,209,14,93,6
SB Jakati,2009,525,402,19,143,26
SB Jakati,2011,338,265,14,80,10
SB Jakati,2012,337,246,15,76,9
SB Styris,2009,64,48,2,21,5
SE Bond,2009,225,186,8,75,9
SJ Srivastava,2009,257,162,8,54,6
SJ Srivastava,2011,187,120,6,49,8
SK Raina,2009,350,309,22,97,13
SK Trivedi,2009,418,333,17,112,17
SK Trivedi,2011,307,214,12,66,10
SK Trivedi,2012,387,312,14,90,13
SK Trivedi,2013,425,359,17,122,12
SK Warne,2009,758,600,27,202,25
SK Warne,2011,298,282,12,117,13
SL Malinga,2009,694,591,26,256,33
SL Malinga,2011,393,378,16,183,28
SL Malinga,2012,355,333,14,145,22
SL Malinga,2013,484,392,17,147,20
SL Malinga,2014,267,235,10,99,16
SL Malinga,2015,453,360,15,140,24
SL Malinga,2017,388,269,12,90,11
SL Malinga,2019,452,269,12,84,16
SM Curran,2019,325,198,9,58,10
SM Curran,2020,348,252,13,87,13
SM Curran,2021,332,198,9,72,9
SMSM Senanayake,2013,211,192,8,73,9
SN Thakur,2017,319,229,12,85,11
SN Thakur,2018,433,280,13,111,16
SN Thakur,2019,285,180,9,61,8
SN Thakur,2020,279,194,9,65,10
SN Thakur,2021,531,359,16,134,21
