batter,season,runs,balls_faced,innings,fours,sixes,dismissals,average,strike_rate,boundary_pct,bat_index
RE van der Merwe,2009,123,100,9,8,8,9,13.67,123.0,16.0,57.87
RG Sharma,2009,766,613,32,58,32,27,28.37,124.96,14.68,64.27
RG Sharma,2011,372,297,13,32,13,11,33.82,125.25,15.15,66.66
RG Sharma,2012,433,341,16,39,18,14,30.93,126.98,16.72,66.51
RG Sharma,2013,538,408,19,35,28,14,38.43,131.86,15.44,71.2
RG Sharma,2014,390,302,15,31,16,13,30.0,129.14,15.56,66.77
RG Sharma,2015,482,333,16,41,21,14,34.43,144.74,18.62,75.39
RG Sharma,2016,489,366,14,49,17,11,44.45,133.61,18.03,74.83
RG Sharma,2017,333,273,16,31,9,14,23.79,121.98,14.65,61.24
RG Sharma,2018,286,214,14,25,12,12,23.83,133.64,17.29,66.45
RG Sharma,2019,405,314,15,52,10,14,28.93,128.98,19.75,67.11
RG Sharma,2020,334,263,12,27,19,12,27.83,127.0,17.49,65.43
RG Sharma,2021,381,298,13,33,14,13,29.31,127.85,15.77,66.02
RG Sharma,2022,268,222,14,28,13,14,19.14,120.72,18.47,59.64
RJ Harris,2009,66,57,10,2,2,5,13.2,115.79,7.02,53.0
RJ Harris,2011,31,38,7,3,0,5,6.2,81.58,7.89,36.69
RJ Peterson,2012,32,30,5,3,1,3,10.67,106.67,13.33,49.6
RJ Quiney,2009,103,102,7,12,3,7,14.71,100.98,14.71,49.22
RK Singh,2022,174,117,7,17,7,5,34.8,148.72,20.51,77.51
RM Patidar,2022,333,217,7,27,18,6,55.5,153.46,20.74,87.73
RN ten Doeschate,2014,52,33,6,3,4,4,13.0,157.58,21.21,72.47
RN ten Doeschate,2015,61,45,5,4,3,3,20.33,135.56,15.56,65.47
RP Singh,2009,17,36,10,0,0,6,2.83,47.22,0.0,20.02
RP Singh,2012,6,12,5,0,0,2,3.0,50.0,0.0,21.2
RR Pant,2016,198,152,10,19,6,8,24.75,130.26,16.45,65.29
RR Pant,2017,366,220,14,28,24,14,26.14,166.36,23.64,81.73
RR Pant,2018,684,394,14,68,37,13,52.62,173.6,26.65,95.82
RR Pant,2019,494,302,16,37,27,13,38.0,163.58,21.19,84.87
RR Pant,2020,345,300,14,32,9,11,31.36,115.0,13.67,61.28
RR Pant,2021,424,328,16,43,10,12,35.33,129.27,16.16,69.07
RR Pant,2022,340,222,13,35,16,11,30.91,153.15,22.97,78.22
RR Powar,2009,28,30,5,2,0,2,14.0,93.33,6.67,44.27
RS Bopara,2009,386,333,14,33,10,13,29.69,115.92,12.91,60.83
RS Bopara,2015,145,120,8,6,6,5,29.0,120.83,10.0,61.93
RT Ponting,2013,52,75,5,3,1,5,10.4,69.33,5.33,32.96
RV Gomez,2011,46,50,8,4,1,5,9.2,92.0,10.0,42.48
RV Uthappa,2009,549,388,27,39,30,23,23.87,141.49,17.78,69.7
RV Uthappa,2011,264,205,13,27,10,10,26.4,128.78,18.05,65.68
RV Uthappa,2012,405,342,16,38,10,15,27.0,118.42,14.04,60.98
RV Uthappa,2013,434,368,16,42,12,16,27.12,117.93,14.67,60.95
RV Uthappa,2014,660,478,16,74,18,15,44.0,138.08,19.25,76.68
RV Uthappa,2015,364,277,13,42,7,12,30.33,131.41,17.69,68.23
RV Uthappa,2016,394,288,15,45,8,15,26.27,136.81,18.4,68.91
RV Uthappa,2017,388,235,13,36,21,13,29.85,165.11,24.26,82.84
RV Uthappa,2018,351,264,16,30,21,16,21.94,132.95,19.32,65.82
RV Uthappa,2019,284,247,11,28,10,9,31.56,114.98,15.38,61.69
RV Uthappa,2020,196,164,12,19,7,12,16.33,119.51,15.85,57.51
RV Uthappa,2022,230,170,11,19,14,11,20.91,135.29,19.41,66.36
Rashid Khan,2018,59,31,7,3,6,5,11.8,190.32,29.03,86.65
Rashid Khan,2019,34,23,7,2,2,5,6.8,147.83,17.39,65.33
Rashid Khan,2020,35,29,6,3,2,4,8.75,120.69,17.24,55.22
Rashid Khan,2021,83,66,10,9,2,8,10.38,125.76,16.67,57.79
Rashid Khan,2022,91,44,8,3,9,4,22.75,206.82,27.27,97.28
S Anirudha,2011,83,74,5,6,3,4,20.75,112.16,12.16,55.6
S Aravind,2017,32,40,6,2,0,4,8.0,80.0,5.0,36.2
S Badree,2017,13,23,5,0,0,5,2.6,56.52,0.0,23.65
S Badrinath,2009,533,465,26,61,9,20,26.65,114.62,15.05,59.52
S Badrinath,2011,396,312,12,38,9,7,56.57,126.92,15.06,76.41
S Badrinath,2012,196,181,9,23,2,7,28.0,108.29,13.81,57.28
S Badrinath,2013,124,120,7,11,0,7,17.71,103.33,9.17,50.25
S Dhawan,2009,231,214,14,26,3,14,16.5,107.94,13.55,52.49
S Dhawan,2011,400,309,14,47,7,12,33.33,129.45,17.48,68.61
S Dhawan,2012,569,438,15,58,18,14,40.64,129.91,17.35,71.69
S Dhawan,2013,311,253,10,37,5,8,38.88,122.92,16.6,68.04
S Dhawan,2014,377,317,14,49,7,13,29.0,118.93,17.67,62.71
S Dhawan,2015,353,285,14,45,6,13,27.15,123.86,17.89,63.98
S Dhawan,2016,501,427,17,51,8,13,38.54,117.33,13.82,65.11
S Dhawan,2017,479,375,14,53,9,13,36.85,127.73,16.53,69.14
S Dhawan,2018,497,362,16,59,14,14,35.5,137.29,20.17,73.15
